date,cash,assets,cash_ratio_assets,cash_ratio_assets_pp,ratio_yoy_pp,ratio_monthly_pp_approx
2014-09-30,91101000000.0,517363000000.0,0.17608719603064,17.608719603064,2.119974162847093,0.1766645135705911
2014-12-31,90666000000.0,526186000000.0,0.17230789112595166,17.230789112595165,1.3582216751659235,0.1131851395971603
2015-03-31,91077000000.0,531076000000.0,0.17149522855485844,17.149522855485845,1.3802641110622336,0.11502200925518613
2015-06-30,93811000000.0,540774000000.0,0.17347542596352636,17.347542596352636,0.5684935082660978,0.04737445902217482
2015-09-30,93379000000.0,545468000000.0,0.17119061063160443,17.119061063160444,-0.4896585399035551,-0.04080487832529626
2015-12-31,97718000000.0,552257000000.0,0.1769429812569148,17.69429812569148,0.46350901309631354,0.03862575109135946
2016-03-31,82861000000.0,586315000000.0,0.14132505564415032,14.132505564415032,-3.017017291070813,-0.2514181075892344
2016-06-30,96423000000.0,592816000000.0,0.1626524925103236,16.26524925103236,-1.0822933453202772,-0.0901911121100231
2016-09-30,109448000000.0,604038000000.0,0.18119389839712072,18.11938983971207,1.0003287765516262,0.08336073137930218
2016-12-31,86370000000.0,620854000000.0,0.13911483215055392,13.911483215055393,-3.7828149106360858,-0.31523457588634046
2017-03-31,119366000000.0,654451000000.0,0.18239104226290434,18.239104226290433,4.106598661875401,0.3422165551562834
2017-06-30,99749000000.0,665590000000.0,0.1498655328355294,14.98655328355294,-1.2786959674794183,-0.10655799728995152
2017-09-30,109300000000.0,681554000000.0,0.16036880423268002,16.036880423268002,-2.0825094164440685,-0.17354245137033905
2017-12-31,115954000000.0,702095000000.0,0.1651542882373468,16.51542882373468,2.603945608679288,0.21699546738994066
2018-03-31,108562000000.0,702651000000.0,0.15450344481115091,15.450344481115092,-2.7887597451753408,-0.2323966454312784
2018-06-30,111099000000.0,711932000000.0,0.15605282526982914,15.605282526982913,0.6187292434299732,0.051560770285831094
2018-09-30,103643000000.0,736459000000.0,0.14073152748489734,14.073152748489735,-1.9637276747782675,-0.16364397289818897
2018-12-31,111867000000.0,707794000000.0,0.1580502236526447,15.80502236526447,-0.7104064584702101,-0.05920053820585084
2019-03-31,114168000000.0,738724000000.0,0.15454757121739648,15.454757121739648,0.004412640624556374,0.00036772005204636454
2019-06-30,122379000000.0,760108000000.0,0.16100212075126166,16.100212075126166,0.4949295481432525,0.04124412901193771
2019-09-30,128154000000.0,788482000000.0,0.16253256256959575,16.253256256959574,2.1801035084698395,0.1816752923724866
2019-12-31,127997000000.0,817729000000.0,0.1565274070015861,15.65274070015861,-0.1522816651058605,-0.012690138758821709
2020-03-31,137263000000.0,760448000000.0,0.1805028088705605,18.05028088705605,2.5955237653164023,0.2162936471097002
2020-06-30,146592000000.0,788133000000.0,0.1859990636098222,18.59990636098222,2.499694285856055,0.20830785715467126
2020-09-30,145723000000.0,829946000000.0,0.17558130287994642,17.55813028799464,1.304874031035066,0.10873950258625549
2020-12-31,138290000000.0,873729000000.0,0.15827562093051736,15.827562093051736,0.1748213928931257,0.014568449407760475
2021-03-31,145439000000.0,884393000000.0,0.16445064581017715,16.445064581017714,-1.6052163060383364,-0.1337680255031947
2021-06-30,144058000000.0,912493000000.0,0.15787299190240364,15.787299190240365,-2.812607170741856,-0.23438393089515466
2021-09-30,149198000000.0,920758000000.0,0.16203823371613388,16.20382337161339,-1.3543069163812511,-0.11285890969843759
2021-12-31,146719000000.0,959388000000.0,0.15292978440422436,15.292978440422436,-0.5345836526292995,-0.044548637719108296
